case,city,date,summary,fatalities,injured,total_victims,location,age_of_shooter,race,gender,latitude,longitude,type,year
Seattle cafe shooting,"Seattle, Washington",5/20/2012,"Ian Stawicki, 40, gunned down four patrons at a cafe, and another person during a carjacking nearby, then shot himself as police closed in. (He died later that day in a Seattle hospital.)",6,1,7,Other,40,White,Male,47.6038321,-122.3300624,Mass,2012
Oikos University killings,"Oakland, California",4/2/2012,"One L. Goh, 43, a former student, opened fire in a nursing classroom. He fled the scene by car and was arrested nearby a few hours later.",7,3,10,School,43,Asian,Male,37.8043808,-122.2708166,Mass,2012
Su Jung Health Sauna shooting,"Norcross, Georgia",2/21/2012,"Jeong Soo Paek, 59, returned to a Korean spa from which he'd been kicked out after an altercation. He gunned down two of his sisters and their husbands before committing suicide.",5,0,5,Other,59,Asian,Male,33.9412127,-84.2135309,Mass,2012
Seal Beach shooting,"Seal Beach, California",10/12/2011,"Scott Evans Dekraai, 42, opened fire inside a hair salon and was later arrested. Victims killed in the attack included his ex-wife, who Dekraai had a history of violently abusing, according to court records. The two had also been involved in a bitter custody battle.",8,1,9,Other,42,White,Male,33.741176,-118.1046356,Mass,2011
IHOP shooting,"Carson City, Nevada",9/6/2011,"Eduardo Sencion, 32, opened fire at an International House of Pancakes restaurant and later died from a self-inflicted gunshot wound.",5,7,12,Other,32,Latino,Male,39.1637984,-119.7674034,Mass,2011
Tucson shooting,"Tucson, Arizona",1/8/2011,"Jared Loughner, 22, opened fire outside a Safeway during a constituent meeting with Congresswoman Gabrielle Giffords (D-Ariz.) before he was subdued by bystanders and arrested.",6,13,19,Other,22,White,Male,32.335941,-110.975132,Mass,2011
Hartford Beer Distributor shooting,"Manchester, Connecticut",8/3/2010,"Omar S. Thornton, 34, shot up his Hartford Beer Distributor workplace after facing disciplinary issues, then committed suicide.",9,2,11,Workplace,34,Black,Male,41.798764,-72.570068,Mass,2010
Coffee shop police killings,"Parkland, Washington",11/29/2009,"Maurice Clemmons, 37, a felon who was out on bail for child-rape charges, entered a coffee shop on a Sunday morning and shot four police officers who had gone there to use their laptops before their shifts. Clemmons, who was wounded fleeing the scene, was later shot dead by a police officer in Seattle after a two-day manhunt.",4,1,5,Other,37,Black,Male,47.15277,-122.467308,Mass,2009
Fort Hood massacre,"Fort Hood, Texas",11/5/2009,"Army psychiatrist Nidal Malik Hasan, 39, opened fire on an Army base in an attack linked to Islamist extremism. Hasan was injured during the attack and later arrested.",13,31,44,Military,39,Other,Male,31.135557,-97.783664,Mass,2009
Binghamton shootings,"Binghamton, New York",4/3/2009,"Jiverly Wong, 41, opened fire at an American Civic Association center for immigrants before committing suicide.",14,4,18,Other,41,Asian,Male,42.099802,-75.917723,Mass,2009
Carthage nursing home shooting,"Carthage, North Carolina",3/29/2009,"Robert Stewart, 45, opened fire at a nursing home where his estranged wife worked before he was shot and arrested by a police officer.",8,3,11,Other,45,White,Male,35.333434,-79.414592,Mass,2009
Atlantis Plastics shooting,"Henderson, Kentucky",6/25/2008,"Disgruntled employee Wesley Neal Higdon, 25, shot up an Atlantis Plastics factory after he was escorted out of his workplace for an argument with a supervisor. Higdon shot the supervisor outside the factory before opening fire on coworkers inside. He then committed suicide.",6,1,7,Workplace,25,White,Male,37.76721,-87.5573742,Spree,2008
Northern Illinois University shooting,"DeKalb, Illinois",2/14/2008,"Steven Kazmierczak, 27, opened fire in a lecture hall, then shot and killed himself before police arrived.",5,21,26,School,27,White,Male,41.9294736,-88.7503647,Mass,2008
Kirkwood City Council shooting,"Kirkwood, Missouri",2/7/2008,"Charles ""Cookie"" Lee Thornton, 52, went on a rampage at the city hall before being shot and killed by police.",6,2,8,Other,52,Black,Male,38.580093,-90.40691,Mass,2008
Westroads Mall shooting,"Omaha, Nebraska",12/5/2007,"Robert A. Hawkins, 19, opened fire inside Westroads Mall before committing suicide.",9,4,13,Spree,19,White,Male,41.265719,-96.067495,Spree,2007
Crandon shooting,"Crandon, Wisconsin",10/7/2007,"Off-duty sheriff's deputy Tyler Peterson, 20, opened fire inside an apartment after an argument at a homecoming party. He fled the scene and later committed suicide.",6,1,7,Other,20,White,Male,45.5719072,-88.9028922,Mass,2007
Virginia Tech massacre,"Blacksburg, Virginia",4/16/2007,"Virginia Tech student Seung-Hui Cho, 23, opened fire on his school's campus before committing suicide.",32,23,55,School,23,Asian,Male,37.2295733,-80.4139393,Mass,2007
Trolley Square shooting,"Salt Lake City, Utah",2/12/2007,"Sulejman Talovic, 18, rampaged through the shopping center until he was shot dead by police.",6,4,10,Other,18,White,Male,40.7606467,-111.89109,Mass,2007
Amish school shooting,"Lancaster County, Pennsylvania",10/2/2006,"Charles Carl Roberts, 32, shot 10 young girls in a one-room schoolhouse in Bart Township, killing 5, before taking his own life.",6,5,11,School,32,White,Male,39.9589,-76.0806,Mass,2006
Capitol Hill massacre,"Seattle, Washington",3/25/2006,"Kyle Aaron Huff, 28, opened fire at a rave afterparty in the Capitol Hill neighborhood of Seattle before committing suicide.",7,2,9,Other,28,White,Male,47.6229,-122.3165,Mass,2006
Goleta postal shootings,"Goleta, California",1/30/2006,"Former postal worker Jennifer Sanmarco, 44, shot dead a former neighbor then drove to the mail processing plant where she used to work. Inside, she opened fire, killing six employees before committing suicide.",8,0,8,Workplace,44,White,Female,34.425571,-119.866069,Mass,2006
Red Lake massacre,"Red Lake, Minnesota",3/21/2005,"Jeffrey Weise, 16, murdered his grandfather, who was a police officer, and grandfather's girlfriend. Weise then drove his grandfather's squad car to Red Lake Senior High School and opened fire on the reservation campus, killing another seven people before committing suicide.",10,5,15,School,16,Native American,Male,47.876346,-95.0169401,Mass,2005
Living Church of God shooting,"Brookfield, Wisconsin",3/12/2005,"Living Church of God member Terry Michael Ratzmann, 44, opened fire at a church meeting at a Sheraton hotel before committing suicide.",7,4,11,Religious,44,White,Male,43.0605671,-88.1064787,Spree,2005
